frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
0,7,0,0.000,0.000,0.000,121.1
1,7,0,0.000,0.000,0.000,0.9
2,7,0,0.000,0.000,0.000,0.8
3,7,0,0.000,0.000,0.000,1.2
4,7,0,0.000,0.000,0.000,1.0
5,7,0,0.000,0.000,0.000,1.3
6,7,1,-0.961,0.062,0.963,1.0
7,6,1,0.584,-0.718,0.926,0.8
8,6,0,0.000,0.000,0.000,0.9
9,6,0,0.000,0.000,0.000,1.4
10,6,0,0.000,0.000,0.000,0.9
11,6,0,0.000,0.000,0.000,0.8
12,6,0,0.000,0.000,0.000,0.8
13,6,3,-0.770,-0.594,0.972,7.4
14,6,0,0.000,0.000,0.000,1.1
15,6,0,0.000,0.000,0.000,0.9
16,6,0,0.000,0.000,0.000,0.8
17,6,0,0.000,0.000,0.000,1.3
18,6,0,0.000,0.000,0.000,0.9
19,6,0,0.000,0.000,0.000,1.1
20,6,1,-0.744,-0.306,0.804,1.3
21,6,0,0.000,0.000,0.000,0.9
22,6,0,0.000,0.000,0.000,0.8
23,6,0,0.000,0.000,0.000,0.7
24,6,0,0.000,0.000,0.000,0.8
25,6,0,0.000,0.000,0.000,1.1
26,6,0,0.000,0.000,0.000,1.0
27,6,0,0.000,0.000,0.000,1.2
28,6,0,0.000,0.000,0.000,1.1
29,6,0,0.000,0.000,0.000,1.2
30,6,0,0.000,0.000,0.000,0.8
31,6,0,0.000,0.000,0.000,1.4
32,6,0,0.000,0.000,0.000,0.9
33,6,0,0.000,0.000,0.000,1.2
34,6,3,-0.756,-0.543,0.931,1.2
35,6,0,0.000,0.000,0.000,0.8
36,6,0,0.000,0.000,0.000,0.8
37,6,0,0.000,0.000,0.000,0.9
38,6,0,0.000,0.000,0.000,0.9
39,6,0,0.000,0.000,0.000,0.9
40,6,0,0.000,0.000,0.000,1.1
41,6,3,-0.837,-0.344,0.905,1.5
42,6,0,0.000,0.000,0.000,1.0
43,6,0,0.000,0.000,0.000,1.1
44,6,0,0.000,0.000,0.000,0.9
45,6,0,0.000,0.000,0.000,1.1
46,6,0,0.000,0.000,0.000,0.9
47,6,0,0.000,0.000,0.000,0.9
48,6,0,0.000,0.000,0.000,0.8
49,6,0,0.000,0.000,0.000,0.9
50,6,0,0.000,0.000,0.000,1.2
51,6,0,0.000,0.000,0.000,1.3
52,6,0,0.000,0.000,0.000,1.0
53,6,0,0.000,0.000,0.000,1.0
54,6,0,0.000,0.000,0.000,0.9
55,6,0,0.000,0.000,0.000,0.8
56,6,0,0.000,0.000,0.000,0.9
57,6,0,0.000,0.000,0.000,1.0
58,6,0,0.000,0.000,0.000,0.8
59,6,0,0.000,0.000,0.000,0.8
60,8,0,0.000,0.000,0.000,121.6
61,8,0,0.000,0.000,0.000,1.2
62,8,0,0.000,0.000,0.000,1.1
63,8,0,0.000,0.000,0.000,0.9
64,8,0,0.000,0.000,0.000,1.1
65,8,0,0.000,0.000,0.000,1.1
