frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
0,4,0,0.000,0.000,0.000,123.8
1,4,0,0.000,0.000,0.000,1.0
2,4,0,0.000,0.000,0.000,1.0
3,4,0,0.000,0.000,0.000,0.8
4,4,0,0.000,0.000,0.000,0.8
5,4,0,0.000,0.000,0.000,1.2
6,4,1,-0.961,0.062,0.963,1.2
7,3,1,0.584,-0.718,0.926,0.8
8,3,0,0.000,0.000,0.000,0.9
9,3,0,0.000,0.000,0.000,1.1
10,3,0,0.000,0.000,0.000,1.2
11,3,0,0.000,0.000,0.000,1.2
12,3,0,0.000,0.000,0.000,0.9
13,3,2,-0.175,-0.792,0.811,8.2
14,3,0,0.000,0.000,0.000,0.8
15,3,0,0.000,0.000,0.000,0.7
16,3,0,0.000,0.000,0.000,0.7
17,3,0,0.000,0.000,0.000,0.8
18,3,0,0.000,0.000,0.000,1.0
19,3,0,0.000,0.000,0.000,0.8
20,3,0,0.000,0.000,0.000,1.4
21,3,0,0.000,0.000,0.000,0.8
22,3,0,0.000,0.000,0.000,0.8
23,3,0,0.000,0.000,0.000,0.8
24,3,0,0.000,0.000,0.000,0.7
25,3,0,0.000,0.000,0.000,0.8
26,3,0,0.000,0.000,0.000,0.9
27,3,0,0.000,0.000,0.000,0.8
28,3,0,0.000,0.000,0.000,0.7
29,3,0,0.000,0.000,0.000,0.9
30,3,0,0.000,0.000,0.000,0.9
31,3,0,0.000,0.000,0.000,0.9
32,3,0,0.000,0.000,0.000,0.9
33,3,0,0.000,0.000,0.000,0.9
34,3,1,-0.677,-0.543,0.867,0.7
35,3,0,0.000,0.000,0.000,0.8
36,3,0,0.000,0.000,0.000,0.9
37,3,0,0.000,0.000,0.000,0.8
38,3,0,0.000,0.000,0.000,0.9
39,3,0,0.000,0.000,0.000,0.7
40,3,0,0.000,0.000,0.000,0.8
41,3,1,-0.949,-0.344,1.010,0.9
42,3,0,0.000,0.000,0.000,0.9
43,3,0,0.000,0.000,0.000,0.9
44,3,0,0.000,0.000,0.000,0.7
45,3,0,0.000,0.000,0.000,0.7
46,3,0,0.000,0.000,0.000,0.8
47,3,0,0.000,0.000,0.000,0.7
48,3,0,0.000,0.000,0.000,0.8
49,3,0,0.000,0.000,0.000,0.8
50,3,0,0.000,0.000,0.000,0.9
51,3,0,0.000,0.000,0.000,0.9
52,3,0,0.000,0.000,0.000,1.1
53,3,0,0.000,0.000,0.000,1.1
54,3,0,0.000,0.000,0.000,0.8
55,3,0,0.000,0.000,0.000,0.8
56,3,0,0.000,0.000,0.000,1.7
57,3,0,0.000,0.000,0.000,1.0
58,3,0,0.000,0.000,0.000,0.9
59,3,0,0.000,0.000,0.000,0.8
60,3,0,0.000,0.000,0.000,0.7
61,3,0,0.000,0.000,0.000,0.7
62,3,0,0.000,0.000,0.000,0.8
63,3,0,0.000,0.000,0.000,0.8
64,3,0,0.000,0.000,0.000,0.7
65,3,0,0.000,0.000,0.000,1.5
66,3,0,0.000,0.000,0.000,0.9
67,3,0,0.000,0.000,0.000,0.9
68,3,0,0.000,0.000,0.000,0.7
69,3,0,0.000,0.000,0.000,0.8
70,3,0,0.000,0.000,0.000,0.7
71,3,0,0.000,0.000,0.000,0.8
72,3,0,0.000,0.000,0.000,0.7
73,3,0,0.000,0.000,0.000,0.7
74,3,0,0.000,0.000,0.000,0.7
75,3,0,0.000,0.000,0.000,0.8
76,3,0,0.000,0.000,0.000,1.3
77,3,0,0.000,0.000,0.000,0.7
78,3,0,0.000,0.000,0.000,0.9
79,3,0,0.000,0.000,0.000,0.8
80,3,0,0.000,0.000,0.000,0.7
81,3,0,0.000,0.000,0.000,0.7
82,3,0,0.000,0.000,0.000,0.8
83,3,0,0.000,0.000,0.000,0.8
84,3,0,0.000,0.000,0.000,0.9
85,3,0,0.000,0.000,0.000,1.0
86,3,0,0.000,0.000,0.000,0.9
87,3,0,0.000,0.000,0.000,1.2
88,3,0,0.000,0.000,0.000,0.9
89,3,0,0.000,0.000,0.000,0.7
90,3,0,0.000,0.000,0.000,0.8
91,3,0,0.000,0.000,0.000,0.8
92,3,0,0.000,0.000,0.000,0.8
93,3,0,0.000,0.000,0.000,0.7
94,3,0,0.000,0.000,0.000,0.9
95,3,0,0.000,0.000,0.000,0.8
96,3,0,0.000,0.000,0.000,1.0
97,3,0,0.000,0.000,0.000,1.0
98,3,0,0.000,0.000,0.000,1.0
99,3,0,0.000,0.000,0.000,0.8
100,3,0,0.000,0.000,0.000,0.9
101,3,0,0.000,0.000,0.000,1.3
102,3,0,0.000,0.000,0.000,1.1
103,3,0,0.000,0.000,0.000,0.9
104,3,0,0.000,0.000,0.000,0.8
105,3,0,0.000,0.000,0.000,0.6
