frame_idx,n_detections,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms,detected_icons
0,39,0,0.000,0.000,0.000,1180.2,0002;0004;0005;0006;001;002;003;004;005;013;014;016;019;021;022;028;029;034;039;042;043;046;047;048;049;050;051;054;055;056;060;064;070;074;077;080;095;wuran;xuancai
2,37,10,0.000,-1.000,1.000,1118.8,0002;0004;0005;0006;002;003;004;013;014;016;019;021;022;028;034;039;042;043;046;047;048;049;050;051;054;055;056;060;064;070;074;077;080;091;095;wuran;xuancai
4,36,7,7.000,0.000,7.000,1049.9,0002;0004;0005;0006;001;002;003;004;013;014;016;019;021;022;028;034;039;042;043;046;047;048;049;050;051;054;055;056;060;064;070;074;077;080;095;wuran
6,38,14,-1.000,0.000,1.000,1050.1,0002;0004;0005;0006;001;002;003;004;013;014;016;019;021;022;028;029;034;035;039;042;043;046;047;048;049;050;051;054;055;056;060;064;070;074;077;080;095;wuran
8,36,10,0.000,-1.000,1.000,1045.0,0002;0004;0005;0006;001;003;004;013;014;016;019;021;022;028;029;034;039;042;043;046;047;048;049;050;051;054;055;056;064;070;074;077;080;091;095;wuran
10,35,11,1.000,0.000,1.000,1075.4,0002;0004;0005;0006;001;003;004;013;014;019;021;022;028;029;034;039;042;043;046;047;048;049;050;051;054;055;056;064;070;074;077;080;082;095;wuran
12,35,1,0.000,1.000,1.000,1048.3,0002;0004;0005;0006;001;003;004;013;014;019;021;022;028;029;034;039;042;043;046;047;048;049;050;051;054;055;056;064;070;074;077;080;082;095;wuran
14,37,21,-1.000,-1.000,1.414,1046.5,0002;0004;0005;0006;001;003;004;013;014;016;018;019;021;022;028;029;034;035;039;042;043;046;047;048;049;050;051;054;055;056;064;070;074;077;080;095;wuran
16,36,2,1.000,0.500,1.118,1073.4,0002;0004;0005;0006;001;003;004;013;014;016;019;021;022;028;029;034;035;039;042;043;046;047;048;049;050;051;054;055;056;064;070;074;077;080;095;wuran
18,33,9,0.000,-1.000,1.000,1042.4,0002;0004;0005;0006;001;003;004;013;014;016;019;021;028;029;034;035;039;042;043;047;048;049;050;051;054;055;056;064;070;074;077;095;wuran
20,33,2,1.500,-0.500,1.581,1056.6,0002;0004;0005;0006;003;004;013;014;016;018;019;028;034;035;039;042;043;047;048;049;050;054;055;056;064;070;074;077;080;081;095;wuran;xuancai
22,33,2,-0.500,0.500,0.707,1049.6,0002;0004;0005;0006;003;004;013;014;016;019;021;028;034;035;039;042;043;046;047;048;049;050;054;055;064;070;074;077;080;081;095;wuran;xuancai
24,33,12,0.000,-1.000,1.000,1050.9,0002;0004;0005;0006;003;004;013;014;016;019;028;034;035;039;042;043;046;047;048;049;050;054;055;056;064;070;074;077;080;081;095;wuran;xuancai
26,31,6,1.500,0.000,1.500,1039.8,0002;0003;0005;0006;003;004;013;014;016;019;028;034;039;042;043;046;047;048;049;050;054;055;056;064;070;074;077;082;095;wuran;xuancai
28,32,8,-1.000,-1.000,1.414,1056.5,0002;0005;0006;002;004;013;014;016;019;028;034;039;042;043;046;047;048;050;051;054;055;056;064;070;071;074;077;080;082;095;wuran;xuancai
30,32,0,0.000,0.000,0.000,1060.6,0002;0005;0006;002;004;013;014;016;019;028;034;039;042;043;046;047;048;050;051;054;055;056;064;070;071;074;077;080;082;095;wuran;xuancai
32,30,5,0.000,-1.000,1.000,1107.5,0002;0005;0006;002;004;013;014;016;019;028;034;039;042;043;046;047;048;050;051;054;055;056;064;070;074;077;082;095;wuran;xuancai
34,32,9,-1.000,-1.000,1.414,1049.7,0002;0005;0006;002;004;013;014;016;018;028;034;039;042;043;046;047;048;050;051;054;055;056;064;070;071;074;076;077;082;095;wuran;xuancai
36,30,5,2.000,0.000,2.000,1065.7,0002;0005;0006;002;004;013;014;016;028;034;035;039;042;043;047;048;050;054;055;056;064;070;071;074;077;082;088;095;wuran;xuancai
38,32,0,0.000,0.000,0.000,1053.1,0002;0004;0005;0006;002;004;013;014;016;028;034;035;039;042;043;047;048;050;054;055;056;064;070;071;074;076;077;082;088;095;wuran;xuancai
40,34,6,0.000,-1.000,1.000,1125.5,0002;0004;0005;0006;002;004;013;014;016;019;028;034;035;039;042;043;046;047;048;050;054;055;056;064;070;071;074;076;077;082;088;095;wuran;xuancai
42,34,6,0.000,-1.000,1.000,1062.2,0002;0004;0005;0006;002;004;013;014;016;019;028;034;035;039;042;043;047;048;050;051;054;055;056;064;070;071;074;076;077;081;082;095;wuran;xuancai
44,36,0,0.000,0.000,0.000,1050.5,0002;0003;0004;0005;0006;002;004;013;014;016;019;028;034;035;039;042;043;047;048;049;050;051;054;055;056;064;070;071;074;076;077;081;082;095;wuran;xuancai
