icon_name,observations,moving_frames,stationary_frames,move_pct,total_displacement
0002,99,2,97,2.0,2.0
0003,32,1,31,3.1,1.0
0004,72,1,71,1.4,1.0
0005,91,39,52,42.9,190.9
0006,99,2,97,2.0,2.0
001,7,5,2,71.4,13.5
002,20,13,7,65.0,27.9
003,13,7,6,53.8,22.1
004,86,63,23,73.3,338.4
005,0,0,0,0.0,0.0
006,0,0,0,0.0,0.0
007,1,0,1,0.0,0.0
008,3,2,1,66.7,2.4
013,90,62,28,68.9,142.3
014,55,28,27,50.9,120.3
016,32,22,10,68.8,149.9
017,22,2,20,9.1,2.0
018,30,22,8,73.3,102.8
019,25,18,7,72.0,89.3
020,3,0,3,0.0,0.0
021,9,8,1,88.9,36.4
022,19,12,7,63.2,83.0
024,14,0,14,0.0,0.0
028,96,50,46,52.1,59.5
029,6,4,2,66.7,20.0
033,1,0,1,0.0,0.0
034,82,32,50,39.0,353.7
035,67,37,30,55.2,42.8
039,69,33,36,47.8,61.8
042,73,26,47,35.6,41.0
043,39,30,9,76.9,83.3
046,26,12,14,46.2,12.8
047,90,52,38,57.8,62.7
048,55,30,25,54.5,152.5
049,37,13,24,35.1,16.5
050,93,48,45,51.6,58.8
051,39,16,23,41.0,43.3
052,4,1,3,25.0,1.0
053,0,0,0,0.0,0.0
054,95,34,61,35.8,231.4
055,61,26,35,42.6,179.1
056,48,22,26,45.8,26.7
057,17,2,15,11.8,2.0
060,3,1,2,33.3,1.0
063,6,2,4,33.3,2.0
064,91,57,34,62.6,255.4
070,86,52,34,60.5,117.8
071,47,28,19,59.6,73.9
072,7,6,1,85.7,7.7
074,86,51,35,59.3,64.5
075,6,3,3,50.0,3.0
076,13,6,7,46.2,77.9
077,44,16,28,36.4,26.0
080,11,5,6,45.5,6.7
081,16,1,15,6.2,9.0
082,52,1,51,1.9,1.0
087,36,22,14,61.1,89.5
088,58,22,36,37.9,25.1
091,13,10,3,76.9,11.2
095,89,52,37,58.4,88.5
wuran,96,48,48,50.0,218.7
xuancai,47,17,30,36.2,22.8
