frame_idx,n_detections,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms,detected_icons
0,0,0,0.000,0.000,0.000,39.2,
2,0,0,0.000,0.000,0.000,36.4,
4,0,0,0.000,0.000,0.000,36.3,
6,0,0,0.000,0.000,0.000,37.2,
8,0,0,0.000,0.000,0.000,36.7,
10,0,0,0.000,0.000,0.000,38.2,
12,0,0,0.000,0.000,0.000,36.6,
14,0,0,0.000,0.000,0.000,36.7,
16,0,0,0.000,0.000,0.000,38.8,
18,0,0,0.000,0.000,0.000,40.1,
20,0,0,0.000,0.000,0.000,40.5,
22,0,0,0.000,0.000,0.000,37.9,
24,0,0,0.000,0.000,0.000,33.7,
26,0,0,0.000,0.000,0.000,34.4,
28,0,0,0.000,0.000,0.000,33.5,
30,0,0,0.000,0.000,0.000,34.1,
32,0,0,0.000,0.000,0.000,34.0,
34,0,0,0.000,0.000,0.000,35.3,
36,0,0,0.000,0.000,0.000,33.3,
38,0,0,0.000,0.000,0.000,34.5,
40,0,0,0.000,0.000,0.000,33.7,
42,0,0,0.000,0.000,0.000,34.5,
44,0,0,0.000,0.000,0.000,32.6,
46,0,0,0.000,0.000,0.000,33.9,
48,0,0,0.000,0.000,0.000,33.3,
50,0,0,0.000,0.000,0.000,32.0,
52,0,0,0.000,0.000,0.000,31.9,
54,0,0,0.000,0.000,0.000,33.2,
56,0,0,0.000,0.000,0.000,33.0,
58,0,0,0.000,0.000,0.000,32.8,
60,0,0,0.000,0.000,0.000,33.0,
62,0,0,0.000,0.000,0.000,34.2,
64,0,0,0.000,0.000,0.000,34.0,
66,0,0,0.000,0.000,0.000,33.9,
68,0,0,0.000,0.000,0.000,32.5,
70,0,0,0.000,0.000,0.000,34.9,
72,0,0,0.000,0.000,0.000,33.5,
74,0,0,0.000,0.000,0.000,32.9,
76,0,0,0.000,0.000,0.000,33.8,
78,1,0,0.000,0.000,0.000,33.6,0002
80,1,0,0.000,0.000,0.000,34.0,0002
82,0,0,0.000,0.000,0.000,32.4,
84,0,0,0.000,0.000,0.000,33.2,
86,0,0,0.000,0.000,0.000,32.4,
88,0,0,0.000,0.000,0.000,32.3,
90,0,0,0.000,0.000,0.000,32.3,
92,0,0,0.000,0.000,0.000,33.6,
94,0,0,0.000,0.000,0.000,33.3,
96,0,0,0.000,0.000,0.000,37.0,
98,0,0,0.000,0.000,0.000,35.3,
100,0,0,0.000,0.000,0.000,35.6,
102,0,0,0.000,0.000,0.000,34.8,
104,0,0,0.000,0.000,0.000,32.7,
106,0,0,0.000,0.000,0.000,31.9,
108,0,0,0.000,0.000,0.000,32.7,
110,0,0,0.000,0.000,0.000,33.5,
112,0,0,0.000,0.000,0.000,32.3,
114,0,0,0.000,0.000,0.000,32.6,
116,0,0,0.000,0.000,0.000,32.1,
118,0,0,0.000,0.000,0.000,33.4,
120,0,0,0.000,0.000,0.000,33.7,
122,0,0,0.000,0.000,0.000,32.9,
124,0,0,0.000,0.000,0.000,33.4,
126,0,0,0.000,0.000,0.000,33.2,
128,0,0,0.000,0.000,0.000,33.0,
130,0,0,0.000,0.000,0.000,35.3,
132,0,0,0.000,0.000,0.000,33.6,
134,0,0,0.000,0.000,0.000,32.3,
136,0,0,0.000,0.000,0.000,33.8,
138,0,0,0.000,0.000,0.000,36.4,
140,0,0,0.000,0.000,0.000,36.7,
142,0,0,0.000,0.000,0.000,34.2,
144,0,0,0.000,0.000,0.000,32.9,
146,0,0,0.000,0.000,0.000,32.9,
148,0,0,0.000,0.000,0.000,32.3,
150,0,0,0.000,0.000,0.000,31.9,
152,0,0,0.000,0.000,0.000,33.2,
154,0,0,0.000,0.000,0.000,33.2,
156,0,0,0.000,0.000,0.000,31.8,
158,0,0,0.000,0.000,0.000,32.2,
160,0,0,0.000,0.000,0.000,32.5,
162,0,0,0.000,0.000,0.000,32.5,
164,0,0,0.000,0.000,0.000,35.9,
166,0,0,0.000,0.000,0.000,32.5,
168,0,0,0.000,0.000,0.000,33.7,
170,0,0,0.000,0.000,0.000,33.2,
172,0,0,0.000,0.000,0.000,33.2,
174,0,0,0.000,0.000,0.000,33.6,
176,0,0,0.000,0.000,0.000,32.2,
178,0,0,0.000,0.000,0.000,32.1,
180,0,0,0.000,0.000,0.000,32.5,
182,0,0,0.000,0.000,0.000,33.5,
184,0,0,0.000,0.000,0.000,31.7,
186,0,0,0.000,0.000,0.000,32.0,
188,0,0,0.000,0.000,0.000,32.6,
190,0,0,0.000,0.000,0.000,34.6,
192,0,0,0.000,0.000,0.000,34.4,
194,0,0,0.000,0.000,0.000,32.6,
196,0,0,0.000,0.000,0.000,32.2,
198,0,0,0.000,0.000,0.000,33.3,
