frame_idx,n_detections,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms,detected_icons
0,10,0,0.000,0.000,0.000,1216.2,0006;019;054;wuran;028;004;002;039;048;047
2,10,0,0.000,0.000,0.000,1062.6,0006;054;019;wuran;004;028;002;039;095;048
4,10,3,0.000,-1.000,1.000,1083.5,0006;054;019;wuran;028;004;002;039;095;048
6,11,5,-1.000,0.000,1.000,1043.8,054;0006;019;wuran;028;004;002;039;095;049;048
8,11,2,-0.500,-1.000,1.118,1081.8,054;0006;019;wuran;028;004;039;002;095;049;048
10,11,5,4.500,0.000,4.500,1064.1,054;019;0006;wuran;028;004;002;039;095;049;048
12,10,0,0.000,0.000,0.000,1046.5,054;019;0006;wuran;028;002;039;095;049;048
14,11,6,-1.000,-1.000,1.414,1074.0,054;019;0006;043;028;wuran;002;095;039;049;014
16,12,0,0.000,0.000,0.000,1040.0,054;019;043;0006;028;wuran;048;002;039;095;049;014
18,12,5,0.000,-1.000,1.000,1052.0,054;019;0006;wuran;028;004;039;048;002;095;049;014
20,11,2,1.500,-0.500,1.581,1054.4,054;019;0006;080;028;004;048;002;039;095;064
22,12,1,0.000,1.000,1.000,1071.4,019;054;080;0006;004;002;039;095;048;064;050;055
24,10,2,2.000,0.000,2.000,1061.4,043;054;080;0006;004;039;002;0005;095;070
26,11,3,-1.000,-1.000,1.414,1046.2,0003;019;054;080;004;039;002;095;048;xuancai;050
28,12,4,-1.000,-1.000,1.414,1014.4,0003;019;080;004;054;039;002;095;048;xuancai;050;042
30,11,1,-1.000,-5.000,5.099,1034.1,0003;019;080;054;004;039;002;095;048;xuancai;042
32,11,2,2.000,0.000,2.000,1024.1,0003;019;080;054;004;028;039;002;095;048;xuancai
34,14,3,-1.000,-1.000,1.414,1019.3,0003;019;080;wuran;028;004;013;039;002;054;095;048;xuancai;070
36,13,2,0.000,-1.500,1.500,977.2,0003;019;080;wuran;004;028;054;002;039;095;048;xuancai;034
38,13,0,0.000,0.000,0.000,997.4,0003;019;080;wuran;004;028;054;002;039;095;048;077;034
40,15,5,0.000,-1.000,1.000,998.9,0003;019;wuran;080;028;004;054;002;095;048;039;034;077;070;042
42,11,2,2.500,-0.500,2.550,1031.8,0003;wuran;019;080;004;028;002;095;054;039;048
44,13,1,5.500,-5.500,7.778,1000.5,0003;wuran;019;080;004;028;002;095;039;054;048;055;014
46,12,6,0.000,-1.000,1.000,989.3,0003;wuran;019;080;028;004;002;095;054;039;055;048
48,12,8,-1.000,0.000,1.000,994.8,0003;wuran;019;043;080;028;002;039;048;095;054;055
50,13,3,14.000,1.000,14.036,982.1,0003;wuran;019;080;028;004;002;048;095;054;039;055;042
52,11,5,-1.000,-1.000,1.414,998.5,wuran;0003;019;080;004;028;002;048;054;095;039
54,12,4,-1.000,0.000,1.000,1008.8,0003;wuran;019;080;028;004;002;054;095;039;048;014
56,13,4,1.500,0.000,1.500,1011.3,0003;wuran;019;080;028;004;002;054;048;095;039;055;014
58,13,3,0.000,-1.000,1.000,986.3,wuran;0003;019;080;028;004;002;095;054;048;xuancai;039;014
60,14,4,0.000,-1.500,1.500,982.9,0003;wuran;019;080;028;004;087;002;071;095;054;048;039;088
62,13,6,-1.500,-1.000,1.803,964.7,0003;wuran;019;080;028;004;002;087;071;048;054;088;070
64,14,3,0.000,1.000,1.000,986.8,wuran;0003;019;080;028;039;004;002;087;071;048;054;088;070
66,14,4,3.750,0.000,3.750,985.7,wuran;019;0003;080;028;039;004;002;087;071;048;054;014;088
68,13,3,-3.000,-1.000,3.162,979.7,wuran;019;080;0003;028;039;004;002;087;071;054;048;070
70,14,9,-1.000,0.000,1.000,985.0,wuran;019;080;028;004;039;0006;002;087;054;042;071;014;070
72,13,9,0.000,-1.000,1.000,1002.9,0003;wuran;019;080;028;039;004;002;087;054;042;014;070
74,13,0,0.000,0.000,0.000,997.6,0003;wuran;019;080;028;039;004;002;087;054;042;014;070
76,14,3,0.000,-1.000,1.000,981.8,0003;wuran;019;080;028;039;004;002;087;054;071;042;070;014
78,11,5,-1.000,-1.000,1.414,989.5,0003;wuran;019;080;039;028;004;002;087;071;014
80,11,0,0.000,0.000,0.000,1001.8,0003;wuran;019;080;039;028;004;002;087;071;014
82,11,3,1.000,0.000,1.000,1025.9,0003;wuran;019;039;080;028;004;002;087;071;014
84,11,4,1.000,0.000,1.000,994.2,0003;wuran;019;039;080;028;004;002;087;071;014
86,14,4,-1.000,-1.000,1.414,1003.2,0003;wuran;019;039;080;028;004;054;002;071;042;017;014;070
88,14,4,-1.000,-1.000,1.414,976.3,0003;wuran;019;039;080;028;004;054;013;002;071;017;042;014
90,14,1,0.000,-1.000,1.000,972.3,0003;wuran;019;039;080;028;004;054;013;002;071;017;042;014
92,11,5,0.000,-1.000,1.000,986.1,0003;wuran;019;080;039;028;004;054;002;017;042
94,11,1,15.000,1.000,15.033,999.7,0003;wuran;019;028;080;013;054;039;002;017;014
96,10,0,0.000,0.000,0.000,1012.7,0003;wuran;019;080;028;013;054;039;017;014
98,11,2,0.500,-2.000,2.062,1020.9,0003;wuran;019;080;028;004;054;039;017;071;014
100,11,4,0.000,-1.000,1.000,1010.0,wuran;0003;019;080;028;013;054;039;017;071;014
102,10,4,-1.000,0.000,1.000,1003.8,wuran;0003;019;080;028;004;054;039;017;071
104,9,5,0.000,-1.000,1.000,1015.0,0003;wuran;043;028;080;054;039;017;071
106,9,0,0.000,0.000,0.000,1014.1,0003;wuran;043;028;080;054;039;017;071
108,9,2,0.250,-1.250,1.275,1022.4,0003;wuran;019;028;004;054;039;057;048
110,8,2,-0.500,-1.500,1.581,1009.8,0003;wuran;019;028;004;054;021;048
112,9,3,-1.000,-1.000,1.414,1015.5,wuran;019;0003;028;004;054;017;048;070
114,9,2,2.500,0.000,2.500,1021.0,wuran;019;028;004;0003;054;017;048;070
116,9,0,0.000,0.000,0.000,1005.4,wuran;0003;019;028;004;054;017;048;070
118,8,0,0.000,0.000,0.000,1026.0,wuran;0003;043;028;054;017;042;070
120,8,2,0.250,-1.750,1.768,1011.4,0003;019;wuran;043;071;054;057;042
122,9,1,-14.000,-2.000,14.142,1030.7,0003;019;043;wuran;002;054;048;017;042
124,9,2,-0.500,-1.000,1.118,1004.1,0003;019;wuran;043;002;054;048;017;042
126,9,2,4.000,0.500,4.031,1013.5,0003;019;043;wuran;002;039;048;054;017
128,12,0,0.000,0.000,0.000,1001.7,0003;019;043;wuran;002;087;039;048;054;017;042;050
130,10,2,2.000,0.000,2.000,990.3,0003;019;043;wuran;002;087;095;039;054;017
132,11,3,1.000,0.000,1.000,1000.7,0003;019;043;wuran;002;087;016;039;054;017;042
134,13,3,1.500,0.000,1.500,988.3,0003;019;wuran;043;013;002;087;095;054;039;055;064;042
136,11,0,0.000,0.000,0.000,965.5,0003;019;wuran;043;013;002;095;054;039;055;064
138,10,4,-1.000,-1.000,1.414,994.3,0003;wuran;019;043;002;054;039;055;064;050
140,11,2,0.000,-1.000,1.000,1007.8,0003;wuran;019;043;002;087;095;054;039;055;064
142,11,6,-1.000,-1.000,1.414,989.5,0003;wuran;019;043;002;087;095;054;039;055;064
144,10,2,2.500,0.000,2.500,1007.2,0003;019;wuran;043;0005;002;087;095;054;039
146,9,0,0.000,0.000,0.000,989.4,0003;019;wuran;043;002;087;095;054;048
148,9,3,-1.000,-1.000,1.414,1020.0,0003;019;wuran;043;002;087;095;054;048
150,9,4,-1.000,-1.000,1.414,1002.5,0003;019;043;wuran;002;087;095;039;054
152,9,0,0.000,0.000,0.000,1003.8,0006;019;wuran;043;002;087;095;039;054
154,10,3,0.000,-1.000,1.000,1009.5,0006;019;wuran;043;028;002;087;054;039;070
156,11,0,0.000,0.000,0.000,1010.4,019;0006;043;wuran;028;002;087;0005;054;039;070
158,13,7,-1.000,-1.000,1.414,993.4,wuran;019;043;0006;087;0005;002;042;054;095;048;070;064
160,11,4,1.500,0.000,1.500,1012.3,019;043;wuran;028;0006;0005;002;054;042;039;070
162,12,3,-4.000,-1.000,4.123,1010.2,0006;019;wuran;043;0005;002;087;054;039;042;070;064
164,13,2,4.500,0.000,4.500,983.0,0006;019;043;wuran;0005;002;054;087;039;095;042;070;064
166,13,6,-1.000,0.000,1.000,995.8,0006;019;wuran;043;0005;028;002;087;054;042;039;070;064
168,13,6,-2.500,-1.000,2.693,986.6,0006;043;wuran;019;0005;002;087;054;042;039;095;070;064
170,13,5,2.500,0.000,2.500,995.8,0006;043;019;wuran;0005;028;002;042;087;054;070;039;064
172,13,0,0.000,0.000,0.000,987.3,0006;043;019;wuran;0005;028;002;042;087;054;070;039;064
174,13,7,-1.000,-1.000,1.414,988.3,wuran;0006;043;019;002;087;054;070;039;048;064;042;050
176,13,1,3.000,1.000,3.162,982.6,wuran;0006;019;043;0005;002;087;054;070;095;039;048;042
178,15,3,-2.000,-1.000,2.236,983.3,wuran;0006;043;019;0005;087;002;054;095;070;014;039;048;042;064
180,12,8,-1.000,-0.750,1.250,970.6,wuran;019;0005;0006;043;054;087;002;070;014;048;088
182,11,0,0.000,0.000,0.000,987.1,wuran;019;0006;043;0005;054;087;002;070;014;048
