icon_name,observations,moving_frames,stationary_frames,move_pct,total_displacement
0003,93,1,92,1.1,1.0
0005,111,51,60,45.9,138.9
0006,77,0,77,0.0,0.0
002,141,102,39,72.3,534.1
004,40,25,15,62.5,58.7
013,30,18,12,60.0,40.9
014,50,21,29,42.0,54.5
019,188,110,78,58.5,249.1
028,109,45,64,41.3,51.0
034,4,0,4,0.0,0.0
039,137,51,86,37.2,86.7
042,35,5,30,14.3,7.2
043,39,29,10,74.4,116.2
047,0,0,0,0.0,0.0
048,69,28,41,40.6,72.2
049,49,14,35,28.6,17.3
050,5,1,4,20.0,1.0
054,192,86,106,44.8,237.4
055,38,14,24,36.8,18.7
064,23,14,9,60.9,19.9
070,58,24,34,41.4,32.7
077,0,0,0,0.0,0.0
080,44,27,17,61.4,74.4
095,87,40,47,46.0,43.3
wuran,189,88,101,46.6,242.5
xuancai,4,1,3,25.0,1.0
