frame_idx,n_tracked,n_moving,consensus_dx,consensus_dy,consensus_dist,latency_ms
0,6,0,0.000,0.000,0.000,120.2
1,6,0,0.000,0.000,0.000,1.0
2,6,0,0.000,0.000,0.000,1.4
3,6,0,0.000,0.000,0.000,1.1
4,6,0,0.000,0.000,0.000,1.0
5,6,0,0.000,0.000,0.000,0.8
6,6,0,0.000,0.000,0.000,1.1
7,6,0,0.000,0.000,0.000,0.8
8,6,0,0.000,0.000,0.000,1.3
9,6,0,0.000,0.000,0.000,0.8
10,6,0,0.000,0.000,0.000,0.8
11,6,0,0.000,0.000,0.000,0.8
12,6,0,0.000,0.000,0.000,0.8
13,6,0,0.000,0.000,0.000,0.8
14,6,0,0.000,0.000,0.000,0.8
15,6,0,0.000,0.000,0.000,1.2
16,6,0,0.000,0.000,0.000,0.9
17,6,0,0.000,0.000,0.000,0.9
18,6,0,0.000,0.000,0.000,0.7
19,6,0,0.000,0.000,0.000,0.8
20,6,0,0.000,0.000,0.000,0.8
21,6,0,0.000,0.000,0.000,0.8
22,6,0,0.000,0.000,0.000,0.8
23,6,0,0.000,0.000,0.000,1.0
24,6,0,0.000,0.000,0.000,1.0
25,6,0,0.000,0.000,0.000,0.8
26,6,0,0.000,0.000,0.000,0.7
27,6,0,0.000,0.000,0.000,0.7
28,6,0,0.000,0.000,0.000,0.8
29,6,0,0.000,0.000,0.000,0.9
30,6,0,0.000,0.000,0.000,1.0
31,6,0,0.000,0.000,0.000,1.2
32,6,0,0.000,0.000,0.000,0.9
33,6,0,0.000,0.000,0.000,1.1
34,6,0,0.000,0.000,0.000,1.1
35,6,0,0.000,0.000,0.000,1.1
36,6,0,0.000,0.000,0.000,1.1
37,6,0,0.000,0.000,0.000,1.1
38,6,0,0.000,0.000,0.000,1.0
39,6,0,0.000,0.000,0.000,1.0
40,6,0,0.000,0.000,0.000,0.8
41,6,0,0.000,0.000,0.000,0.8
42,6,0,0.000,0.000,0.000,1.1
43,6,0,0.000,0.000,0.000,0.9
44,6,0,0.000,0.000,0.000,1.7
45,6,0,0.000,0.000,0.000,0.8
46,6,0,0.000,0.000,0.000,0.7
47,6,0,0.000,0.000,0.000,0.8
48,6,0,0.000,0.000,0.000,0.9
49,6,0,0.000,0.000,0.000,1.0
50,6,0,0.000,0.000,0.000,1.0
51,6,0,0.000,0.000,0.000,0.9
52,6,0,0.000,0.000,0.000,1.0
53,6,0,0.000,0.000,0.000,0.8
54,6,0,0.000,0.000,0.000,0.9
55,6,0,0.000,0.000,0.000,1.0
56,6,0,0.000,0.000,0.000,0.9
57,6,0,0.000,0.000,0.000,0.9
58,6,0,0.000,0.000,0.000,1.2
59,6,0,0.000,0.000,0.000,1.0
60,6,0,0.000,0.000,0.000,0.9
61,6,0,0.000,0.000,0.000,1.1
62,6,0,0.000,0.000,0.000,0.8
63,6,0,0.000,0.000,0.000,0.9
64,6,0,0.000,0.000,0.000,1.0
65,6,0,0.000,0.000,0.000,0.9
66,6,0,0.000,0.000,0.000,0.9
67,6,0,0.000,0.000,0.000,0.8
68,6,0,0.000,0.000,0.000,1.0
69,6,0,0.000,0.000,0.000,1.0
70,6,0,0.000,0.000,0.000,0.9
71,6,0,0.000,0.000,0.000,1.1
72,6,0,0.000,0.000,0.000,0.9
73,6,0,0.000,0.000,0.000,0.9
74,6,0,0.000,0.000,0.000,0.8
75,6,0,0.000,0.000,0.000,0.8
76,6,0,0.000,0.000,0.000,1.0
77,6,0,0.000,0.000,0.000,1.5
78,6,0,0.000,0.000,0.000,1.1
79,6,0,0.000,0.000,0.000,1.1
80,6,0,0.000,0.000,0.000,0.9
81,6,0,0.000,0.000,0.000,1.2
82,6,0,0.000,0.000,0.000,1.0
83,6,0,0.000,0.000,0.000,1.0
84,6,0,0.000,0.000,0.000,0.8
85,6,0,0.000,0.000,0.000,0.9
86,6,0,0.000,0.000,0.000,0.9
87,6,0,0.000,0.000,0.000,1.0
88,6,0,0.000,0.000,0.000,0.9
89,6,0,0.000,0.000,0.000,1.4
90,6,0,0.000,0.000,0.000,1.2
91,6,0,0.000,0.000,0.000,1.0
92,6,0,0.000,0.000,0.000,0.9
93,6,0,0.000,0.000,0.000,0.9
94,6,0,0.000,0.000,0.000,1.0
95,6,0,0.000,0.000,0.000,0.7
96,6,0,0.000,0.000,0.000,0.9
97,6,0,0.000,0.000,0.000,1.4
98,6,0,0.000,0.000,0.000,0.8
99,6,0,0.000,0.000,0.000,1.3
100,6,0,0.000,0.000,0.000,1.0
101,6,0,0.000,0.000,0.000,1.8
102,6,0,0.000,0.000,0.000,0.8
103,6,0,0.000,0.000,0.000,0.8
104,6,0,0.000,0.000,0.000,0.7
105,6,0,0.000,0.000,0.000,0.8
106,6,0,0.000,0.000,0.000,1.1
107,6,0,0.000,0.000,0.000,1.2
108,6,0,0.000,0.000,0.000,1.2
109,6,0,0.000,0.000,0.000,0.8
110,6,0,0.000,0.000,0.000,0.8
111,6,0,0.000,0.000,0.000,1.1
112,6,0,0.000,0.000,0.000,0.9
113,6,0,0.000,0.000,0.000,0.8
